使用方法,#genre#
請使用,
DIYP影音 新版,
來源均來自互聯網,
以上均測試軟體,
無販賣 請支持正版,
請按指示解碼,
以便有良好體驗,
可以數字選台,
大多硬解即可,
超時請設10秒以上,
有些讀取慢請耐心,
不能播請換解碼,
點播均可按左右快轉,
港澳,#genre#
香港開電視,http://media.fantv.hk/m3u8/archive/channel2.m3u8
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
鳳凰資訊,http://223.82.250.72/live/fhzixun/1.m3u8
澳視資訊,http://live4.tdm.com.mo/ch5/_definst_/info_ch5.live/playlist.m3u8
澳視衛視,http://live4.tdm.com.mo:80/ch3/_definst_/ch3.live/playlist.m3u8
澳視葡文,http://live4.tdm.com.mo:80/ch2/_definst_/ch2.live/playlist.m3u8
澳亞衛視,http://61.58.60.230:9319/live/256.m3u8
新唐人,https://live.ntdimg.com/aplive200/playlist.m3u8
RHK31,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-p.m3u8
RHK32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
翡翠台,http://61.238.6.49:8000/bysid/1
ViuTV,http://61.238.6.49:8000/bysid/96
鳳凰香港,http://220.158.149.28:8180/TV00000000000000000068@HHZT;LIVE

新聞,#genre#
中天新聞,http://seb.sason.top/sc/ztxw_fhd.m3u8
TVBS新聞,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
民視新聞,http://seb.sason.top/sc/msxw_fhd.m3u8
東森財經新聞,http://seb.sason.top/sc/dscjxw_fhd.m3u8
東森新聞,http://seb.sason.top/sc/dsxw_fhd.m3u8
華視新聞,http://seb.sason.top/sc/hsxw_fhd.m3u8
三立INEW,http://seb.sason.top/sc/slinews_fhd.m3u8
三立新聞,http://seb.sason.top/sc/sllive_fhd.m3u8
台視新聞,http://seb.sason.top/sc/tsxw_fhd.m3u8
中視新聞,http://seb.sason.top/sc/zsxw_fhd.m3u8
中天新聞,http://seb.sason.top/sc/ztxw_fhd.m3u8
TVB新聞台,http://tv.sason.xyz/proxy/tvb.php?id=xw
TVB財經台,http://tv.sason.xyz/proxy/tvb.php?id=cj
民視,http://seb.sason.top/ptv/ftv.php?id=ms
民視第一,http://seb.sason.top/ptv/ftv.php?id=dy
民視臺灣,http://seb.sason.top/ptv/ftv.php?id=tw
壹新聞,http://stream.nexttv.com.tw/n001/hd/live.m3u8
民視,http://seb.sason.top/ptv/ftv.php?id=ms
民視新聞台,http://seb.sason.top/sc/msxw_fhd.m3u8
民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民視台灣台,http://seb.sason.top/ptv/ftv.php?id=tw
民視影劇台,http://seb.sason.top/ptv/ftv.php?id=yj
民視綜藝台,http://seb.sason.top/ptv/ftv.php?id=zy
民視旅遊台,http://seb.sason.top/ptv/ftv.php?id=ly
TVBS新聞,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
民視新聞,http://seb.sason.top/sc/msxw_fhd.m3u8
三立Live新聞,http://seb.sason.top/sc/sllive_fhd.m3u8
三立iNews新聞,http://seb.sason.top/sc/slinews_fhd.m3u8
佛衛慈悲台,http://btsw-ott2b.cdn.hinet.net/live_bts/btsw01/chunklist.m3u8?fbclid=IwAR0tOOH5nMOCvkCFTXbHgyO6P95nuOS3MNCfYDflXYkqsUVGfApmPOLWeR0
大愛一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛海外台,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
人間衛視,http://54.64.23.79:1935/live/vod/playlist.m3u8
華藏衛視,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8?fbclid=IwAR2uErpXmasWyKXdAsf_7CmAt16pfI_p8LnqdgrwtxWmErj7tq4NSTRtnPc

